party,handicappedInfants,waterProject,budgetResolution,physicianFeeFreeze,elSalvadorAid,religiousGroupsInSchools,antiSatelliteTestBan,aidToNicaraguanContras,mxMissile,immigration,synfuelsCorporationCutback,educationSpending,superfundRightToSue,crime,dutyFreeExports,exportsSouthAfrica
democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
democrat,y,n,y,n,y,y,y,n,noVote,n,y,n,y,y,y,noVote
democrat,y,n,n,n,y,y,noVote,n,noVote,n,n,n,n,y,noVote,n
democrat,noVote,noVote,noVote,noVote,n,y,y,y,y,y,noVote,n,y,y,n,noVote
democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,y,noVote,noVote
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,noVote,y,n,n,y,y,y,n,y,n,n,n,n,y,noVote
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,noVote,y,n,noVote,noVote,y,y,y,y,noVote,noVote,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,noVote,noVote,y,y,y,n,n,n,y,n,y,y,y,noVote,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,noVote,n,y,y,y,n,y,n,n,n,y,y,y,n,y
democrat,n,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,noVote,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,n,noVote,y,n,n,n,y,y,y,y,y,n,n,y,y,y
democrat,n,noVote,y,n,n,y,n,y,n,y,y,n,n,n,y,y
democrat,noVote,noVote,y,n,n,n,y,y,noVote,n,noVote,noVote,noVote,noVote,noVote,noVote
democrat,y,noVote,y,n,noVote,noVote,y,y,y,n,n,n,n,n,y,noVote
democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,noVote
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,noVote
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
democrat,n,noVote,y,n,n,y,y,y,y,y,n,n,n,y,y,y
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,noVote,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
democrat,n,noVote,n,n,n,y,y,y,y,y,n,n,n,y,n,noVote
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,noVote,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,y,n,y,y,y,n,noVote,n,n,y,y,y,y,n,n
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
democrat,n,y,y,n,n,y,n,y,y,n,y,n,noVote,noVote,noVote,noVote
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,n,y,y,n,noVote,y,y,y,y,y,y,n,n,noVote,n,noVote
democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,noVote
democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,noVote
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,noVote
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
democrat,y,n,y,n,n,n,noVote,y,y,noVote,n,n,n,n,y,noVote
republican,n,noVote,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,y,y,n,n,n,y,y,y,y,n,n,noVote,n,y,y
democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
democrat,n,n,y,n,n,n,y,y,y,y,y,noVote,n,n,y,y
democrat,noVote,n,y,n,n,n,y,y,y,y,y,noVote,n,n,y,noVote
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,noVote,noVote,y,n,n,n,y,y,y,noVote,noVote,n,n,n,noVote,noVote
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,noVote,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,y,noVote,noVote,noVote,noVote,noVote,noVote,noVote
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,n,noVote,n,n,y,y
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
republican,y,noVote,n,y,y,y,y,y,n,n,n,y,noVote,y,noVote,noVote
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,noVote,n,y,y,y,n,n,n,n,n,y,y,y,n,noVote
republican,n,y,n,y,y,y,n,noVote,n,y,n,y,y,y,n,noVote
democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,noVote
democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,noVote
republican,n,noVote,y,y,y,y,n,n,n,y,n,n,n,y,n,y
democrat,n,n,y,n,n,n,y,y,y,y,y,n,noVote,n,y,noVote
democrat,y,y,n,n,n,n,y,y,noVote,n,y,n,n,n,y,noVote
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,noVote,n,y,y,y,y,n,n,y,n,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,n,n,noVote,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
democrat,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,noVote
democrat,y,y,y,n,y,y,n,n,noVote,y,n,n,n,y,y,noVote
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,noVote,y,n,n,n,y,y,y,n,noVote,n,n,n,y,noVote
democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,noVote
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,noVote
republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,noVote,y,y,n,n
republican,n,noVote,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,noVote,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,noVote,n,y
republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,noVote
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,noVote
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
democrat,y,y,y,n,n,n,y,y,noVote,y,n,n,n,n,y,noVote
republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
republican,n,n,n,y,n,y,y,noVote,y,n,n,y,y,y,n,y
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
republican,n,n,n,n,y,y,y,n,n,n,n,noVote,n,y,y,y
democrat,n,y,y,n,n,n,y,y,noVote,y,n,n,y,n,y,y
democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,n,n,y,n,y,n,y,y,y,n,n,n,n,y,noVote,y
republican,n,y,n,y,y,y,noVote,n,n,n,n,noVote,y,y,n,n
republican,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote,noVote
democrat,y,n,y,n,n,n,y,y,noVote,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,noVote,y
democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
democrat,y,n,y,n,n,noVote,y,y,y,n,noVote,noVote,n,noVote,noVote,noVote
democrat,y,n,y,n,n,n,y,y,y,y,n,n,noVote,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,noVote
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,n,y,y,n,n,y,y,y,y,n,noVote,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,noVote
republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,noVote,y
republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
democrat,n,n,y,n,y,y,n,n,n,n,noVote,n,y,y,n,n
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
republican,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,noVote
republican,y,n,n,y,y,y,n,n,n,y,n,noVote,y,y,n,n
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,noVote,y
democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
democrat,n,n,y,n,n,y,noVote,y,noVote,y,y,y,n,y,y,noVote
democrat,y,y,y,noVote,n,y,y,y,y,n,y,n,y,n,noVote,y
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,noVote
democrat,y,n,y,n,noVote,y,noVote,y,y,y,n,n,y,y,n,y
democrat,y,n,y,n,n,y,y,y,y,y,n,noVote,n,y,n,y
democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,noVote
republican,n,y,n,y,y,y,noVote,noVote,n,y,n,y,noVote,noVote,noVote,noVote
republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
democrat,y,y,y,n,n,y,y,y,y,y,n,n,noVote,n,y,noVote
democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
